30227,30227,2021-07-21 00:15:00,3645      
DeviceID,DeviceName,ResourceID,ResourceName,CollectionTime,GranularityPeriod,PORT_RX_BW_UTILIZATION_MIN,PORT_RX_BW_UTILIZATION_AVG,PORT_RX_BW_UTILIZATION_MAX,PORT_TX_BW_UTILIZATION_MIN,PORT_TX_BW_UTILIZATION_AVG,PORT_TX_BW_UTILIZATION_MAX,RXBBAD,TXPKTS,TXOCTETS,RXOCTETS,RXPKTS,PORT_RX_BW_UTILIZATION,PORT_TX_BW_UTILIZATION,TX_DROP_PKTS
3146325,PRQG9934HUIR002,"NE=3146325,LP=16|65568|1|",PRQG9934HUIR002-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,1.00,1.00,1.00,,902381,261302634,50857,626,0.00,1.00,
167774994,ZAMM1673HUIR001,"NE=167774994,LP=16|65568|1|",ZAMM1673HUIR001-1(PLA-1),2021-07-21 00:15:00,15,11.23,15.61,25.24,2.30,2.61,3.01,,8293961,1819781682,10915918638,12217654,15.61,2.60,
3159668,ESZ04530HUIR003,"NE=3159668,LP=16|65568|1|",ESZ04530HUIR003-1(PLA-1),2021-07-21 00:15:00,15,1.20,1.54,2.07,5.99,10.41,19.66,,6733901,6920889763,1008308108,3972760,1.54,10.41,
167773701,SIC04844HUIR002,"NE=167773701,LP=16|65568|1|",SIC04844HUIR002-1(PLA-1),2021-07-21 00:15:00,15,2.71,3.42,5.01,7.49,14.84,24.06,,5671364,5190496360,1182135482,4731518,3.42,14.83,
3160112,MAT00D90HUIR001,"NE=3160112,LP=16|65568|1|",MAT00D90HUIR001-1(PLA-1),2021-07-21 00:15:00,15,28.98,32.83,38.38,5.38,5.94,6.48,,97902030,19200980678,108944091864,127868380,32.82,5.94,
3161411,TRK04816HUIR002,"NE=3161411,LP=16|65568|1|",TRK04816HUIR002-1(PLA-1),2021-07-21 00:15:00,15,2.91,3.41,4.84,17.97,19.28,20.98,,82001255,63860990954,11013341167,54148319,3.41,19.28,
3147480,AMDV3534HUIR001,"NE=3147480,LP=16|65568|1|",AMDV3534HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.00,1.00,0.00,0.00,0.00,,601,47559,296674648,1023478,1.00,0.00,
3161678,MTXM0221HUIR002,"NE=3161678,LP=16|65568|1|",MTXM0221HUIR002-1(PLA-1),2021-07-21 00:15:00,15,27.25,35.28,44.15,3.21,3.86,5.43,,11347133,2179660031,19893974539,19423065,35.27,3.86,
167774029,PBM1782HUIR001,"NE=167774029,LP=16|65568|1|",PBM1782HUIR001-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,705,61789,88353,856,0.00,0.00,
3155722,QCYG5959HUIR001,"NE=3155722,LP=16|65568|1|",QCYG5959HUIR001-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,721,61040,54548,669,0.00,0.00,
167772892,PIN04475HUIR001,"NE=167772892,LP=16|65568|1|",PIN04475HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.11,1.42,2.01,4.59,7.94,20.36,,7845631,6402943568,1150770496,5769841,1.42,7.94,
167772891,PUP00B65HUIR007,"NE=167772891,LP=16|65568|1|",PUP00B65HUIR007-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,634,50407,232988,1862,0.00,0.00,
167773372,COOV0206HUIR001,"NE=167773372,LP=16|65568|1|",COOV0206HUIR001-1(PLA-1),2021-07-21 00:15:00,15,9.98,19.12,32.72,2.14,3.12,4.65,,4755465,1020221830,6353697706,6989545,19.11,3.12,
3158489,PPDM1703HUIR001,"NE=3158489,LP=16|65568|1|",PPDM1703HUIR001-1(PLA-1),2021-07-21 00:15:00,15,9.30,15.82,26.29,2.07,2.55,3.59,,8481232,1796553165,11094125128,11949577,15.77,2.55,
3160113,MAT00A44HUIR006,"NE=3160113,LP=16|65568|1|",MAT00A44HUIR006-1(PLA-1),2021-07-21 00:15:00,15,5.43,5.94,6.52,29.33,32.93,38.70,,127817289,108828724067,19180156745,97813637,5.94,32.93,
167774712,SBG00F47HUIR001,"NE=167774712,LP=16|65568|1|",SBG00F47HUIR001-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,602,47206,75958,732,0.00,0.00,
167773657,PLO04598HUIR002,"NE=167773657,LP=16|65568|1|",PLO04598HUIR002-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.00,1.00,1.00,1.00,1.00,,4504123,1306058769,261264312,901476,1.00,1.00,
3152434,MMLG1070HUIR001,"NE=3152434,LP=16|65568|1|",MMLG1070HUIR001-1(PLA-1),2021-07-21 00:15:00,15,12.82,18.01,24.40,1.87,2.31,3.07,,13758214,2987755576,23676037516,23526273,18.01,2.31,
167774387,PSYG8896HUIR001,"NE=167774387,LP=16|65568|1|",PSYG8896HUIR001-1(PLA-1),2021-07-21 00:15:00,15,0.00,0.00,0.00,0.00,0.00,0.00,,636,53914,60400,728,0.00,0.00,
167772424,MBY00A29HUIR001,"NE=167772424,LP=16|65568|1|",MBY00A29HUIR001-1(PLA-1),2021-07-21 00:15:00,15,1.00,1.06,1.28,3.63,6.59,11.83,,4484682,4097953907,578367501,2469744,1.05,6.59,
