PFM_RMONG_STATICS,PFM_RMONG_STATICS,2021-07-21 04:00:00,97        
DeviceID,DeviceName,ResourceID,ResourceName,CollectionTime,GranularityPeriod,PORT_RX_BW_UTILIZATION,PORT_TX_BW_UTILIZATION,RXOCTETS,RXPKTS
167773152,TBXV5268HUIR001,"NE=167773152,S=8,CP=-1,PP=4||3|,FB=19|1||",TBXV5268HUIR001-8-EMS6-3(PORT-3)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773152,TBXV5268HUIR001,"NE=167773152,S=8,CP=-1,PP=4||4|,FB=19|1||",TBXV5268HUIR001-8-EMS6-4(V5268 FDLTE Rollout)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773152,TBXV5268HUIR001,"NE=167773152,S=8,CP=-1,PP=4||5|,FB=19|1||",TBXV5268HUIR001-8-EMS6-5(PORT-5)-MAC:1,2021-07-21 04:00:00,15,,,57600,900
167773152,TBXV5268HUIR001,"NE=167773152,S=8,CP=-1,PP=4||6|,FB=19|1||",TBXV5268HUIR001-8-EMS6-6(PORT-6)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=7,CP=-1,PP=4||1|,FB=19|1||",TBXV3428HUIR001 old-7-IFH2-1(PORT-1)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||1|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-1(V3428 SUN-TagbilaranCity-Poblacion1 FDLTE)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||2|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-2(to RTN620 fc V5268 S8P1)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||3|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-3(V3428 3G Rehoming)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||4|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-4(V3428 SUN-TagbilaranCity-Poblacion1 2G)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||5|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-5(PORT-5)-MAC:1,2021-07-21 04:00:00,15,,,99561,1491
167773197,TBXV3428HUIR001 old,"NE=167773197,S=8,CP=-1,PP=4||6|,FB=19|1||",TBXV3428HUIR001 old-8-EMS6-6(PORT-6)-MAC:1,2021-07-21 04:00:00,15,,,0,0
167773912,V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2,"NE=167773912,S=7,CP=-1,PP=4||1|,FB=19|1||",V0695 SILLIMAN MEDICAL CENTER FACING V3745 Looc 2-7-IFH2-1(PORT-1)-MAC:1,2021-07-21 04:00:00,15,,,0,0
