42021,42021,2021-07-21 03:45:00,1079      
DeviceID,DeviceName,ResourceID,ResourceName,CollectionTime,GranularityPeriod,RXOCTETS,RXPKTS
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=1,S=10,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf1(To Tarlac 2)-10-13LSX-3(RX/TX-HU-DEP15-061 SCEN (SFP-TAR)-01)-CLIENT:1,2021-07-21 03:45:00,15,2714907198,10653972
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=1,S=6,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf1(To Tarlac 2)-6-13LSX-3(RX/TX-HU-DEP12-049 SCEN (SFP-TAR)-01)-CLIENT:1,2021-07-21 03:45:00,15,5075560953,17426497
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=1,S=9,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf1(To Tarlac 2)-9-13LSX-3(RX/TX-HU-DEP15-067 SCEN (SFP-TAR)-01)-CLIENT:1,2021-07-21 03:45:00,15,4345448851,11912071
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=3,S=12,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf3(To Malolos 2)-12-13LSX-3(RX/TX-HU-DEP15-066 SCEN (MAL-SFP)-01)-CLIENT:1,2021-07-21 03:45:00,15,6047437754,21019341
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=3,S=13,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf3(To Malolos 2)-13-13LSX-3(RX/TX-HU-DEP15-060 SCEN (MAL-SFP)-01)-CLIENT:1,2021-07-21 03:45:00,15,2142751318,7682094
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=3,S=6,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf3(To Malolos 2)-6-13LSX-3(RX/TX-HU-DEP12-048 SCEN (MAL-SFP)-01)-CLIENT:1,2021-07-21 03:45:00,15,14575597890,22938188
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=3,S=8,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf3(To Malolos 2)-8-13LSX-3(RX/TX-HU-DEP14-022 SCEN (MAL-SFP)-01)-CLIENT:1,2021-07-21 03:45:00,15,11696462072,19316469
3145742,PSFP_6021_DEP12,"ONE=4063262,NE=3145742,FR=5,S=1,CP=-1,PP=3||3|,CLIENT=1",PSFP_6021_DEP12-Shelf5(DEP14)-1-13LSX-3(RX/TX-HU-DEP14-023 SCEN (SFP-TAR)-01)-CLIENT:1,2021-07-21 03:45:00,15,13840072518,51998303
167772164,TCB_3_A (188-19-Electric),"ONE=234881025,NE=167772164,FR=0,S=17,CP=-1,PP=3||1|,CLIENT=1",TCB_3_A (188-19-Electric)-Shelf0(TCBV3989HULB001)-17-V3T404-1(RX1/TX1 - HU-TNTPH1-D041 IPBB P-P (TCB-JNE))-CLIENT:1,2021-07-21 03:45:00,15,41128998734,146957160
167772164,TCB_3_A (188-19-Electric),"ONE=234881025,NE=167772164,FR=0,S=17,CP=-1,PP=3||2|,CLIENT=1",TCB_3_A (188-19-Electric)-Shelf0(TCBV3989HULB001)-17-V3T404-2(RX2/TX2 - HU-TNTPH1-D042 IPBB P-P (TCB-JNE))-CLIENT:1,2021-07-21 03:45:00,15,44593898312,154966091
